Event Name,Start Date/Time,End Date/Time,Event Location,Latitude,Longitude
Soccer - Non Regulation,2024-07-11T10:00:00.000,2024-07-11T20:00:00.000,"James J Walker Park: Soccer-01 ,Marx Brothers Playground: Soccer-01 ,Riverside Park: 101st St-Soccer-04 C",40.72974205,-74.00630704669005
Soccer - Non Regulation,2024-07-20T10:00:00.000,2024-07-20T20:00:00.000,"James J Walker Park: Soccer-01 ,Marx Brothers Playground: Soccer-01 ,Riverside Park: 101st St-Soccer-04 C",40.72974205,-74.00630704669005
Soccer - Non Regulation,2024-08-05T20:30:00.000,2024-08-05T23:00:00.000,James J Walker Park: Soccer-01,40.72974205,-74.00630704669005
Soccer - Non Regulation,2024-07-10T10:00:00.000,2024-07-10T20:00:00.000,"James J Walker Park: Soccer-01 ,Marx Brothers Playground: Soccer-01 ,Riverside Park: 101st St-Soccer-04 C",40.72974205,-74.00630704669005
Soccer - Non Regulation,2024-08-03T10:00:00.000,2024-08-03T20:00:00.000,"James J Walker Park: Soccer-01 ,Marx Brothers Playground: Soccer-01 ,Riverside Park: 101st St-Soccer-04 C",40.72974205,-74.00630704669005
Soccer - Non Regulation,2024-07-27T10:00:00.000,2024-07-27T20:00:00.000,"James J Walker Park: Soccer-01 ,Marx Brothers Playground: Soccer-01 ,Riverside Park: 101st St-Soccer-04 C",40.72974205,-74.00630704669005
Softball - Adults,2024-08-05T19:00:00.000,2024-08-05T21:00:00.000,James J Walker Park: Softball-01,40.72974205,-74.00630704669005
Movie Nights,2024-08-05T16:00:00.000,2024-08-05T23:00:00.000,Bryant Park: Lawn,40.75375085,-73.98354279430387
Soccer - Non Regulation,2024-08-05T18:00:00.000,2024-08-05T22:00:00.000,"James J Walker Park: Soccer-01 ,James J Walker Park: Soccer-01 ,James J Walker Park: Soccer-01",40.72974205,-74.00630704669005
Soccer - Non Regulation,2024-07-15T10:00:00.000,2024-07-15T20:00:00.000,"James J Walker Park: Soccer-01 ,Marx Brothers Playground: Soccer-01 ,Riverside Park: 101st St-Soccer-04 C",40.72974205,-74.00630704669005
Soccer - Non Regulation,2024-07-22T10:00:00.000,2024-07-22T20:00:00.000,"James J Walker Park: Soccer-01 ,Marx Brothers Playground: Soccer-01 ,Riverside Park: 101st St-Soccer-04 C",40.72974205,-74.00630704669005
Soccer - Non Regulation,2024-08-01T10:00:00.000,2024-08-01T20:00:00.000,"James J Walker Park: Soccer-01 ,Marx Brothers Playground: Soccer-01 ,Riverside Park: 101st St-Soccer-04 C",40.72974205,-74.00630704669005
Soccer - Non Regulation,2024-07-23T10:00:00.000,2024-07-23T20:00:00.000,"James J Walker Park: Soccer-01 ,Marx Brothers Playground: Soccer-01 ,Riverside Park: 101st St-Soccer-04 C",40.72974205,-74.00630704669005
Soccer - Non Regulation,2024-07-16T10:00:00.000,2024-07-16T20:00:00.000,"James J Walker Park: Soccer-01 ,Marx Brothers Playground: Soccer-01 ,Riverside Park: 101st St-Soccer-04 C",40.72974205,-74.00630704669005
Basketball,2024-07-16T09:00:00.000,2024-07-16T20:00:00.000,"Hamilton Fish Park: Basketball-01 ,Hamilton Fish Park: Basketball-02",40.71979385,-73.98083391710483
Harry Potter and the Cursed Child,2024-07-06 19:00:00,2024-07-06 19:00:00,Lyric Theatre - NY,40.7593,-73.990196
Harry Potter and the Cursed Child,2024-07-05 13:00:00,2024-07-05 13:00:00,Lyric Theatre - NY,40.7593,-73.990196
Harry Potter and the Cursed Child,2024-07-03 19:00:00,2024-07-03 19:00:00,Lyric Theatre - NY,40.7593,-73.990196
Harry Potter and the Cursed Child,2024-07-06 13:00:00,2024-07-06 13:00:00,Lyric Theatre - NY,40.7593,-73.990196
Harry Potter and the Cursed Child,2024-07-05 19:00:00,2024-07-05 19:00:00,Lyric Theatre - NY,40.7593,-73.990196
Harry Potter and the Cursed Child,2024-07-10 13:00:00,2024-07-10 13:00:00,Lyric Theatre - NY,40.7593,-73.990196
Harry Potter and the Cursed Child,2024-07-07 15:00:00,2024-07-07 15:00:00,Lyric Theatre - NY,40.7593,-73.990196
Harry Potter and the Cursed Child,2024-07-09 19:00:00,2024-07-09 19:00:00,Lyric Theatre - NY,40.7593,-73.990196
Hamilton (NY),2024-07-03 19:00:00,2024-07-03 19:00:00,Richard Rodgers Theatre,40.75920382,-73.98676323
Hamilton,2024-07-03 19:00:00,2024-07-03 19:00:00,Richard Rodgers Theatre-NY,40.7593,-73.990196
Hamilton (NY),2024-07-05 19:00:00,2024-07-05 19:00:00,Richard Rodgers Theatre,40.75920382,-73.98676323
Hamilton,2024-07-05 19:00:00,2024-07-05 19:00:00,Richard Rodgers Theatre-NY,40.7593,-73.990196
Hamilton (NY),2024-07-06 19:00:00,2024-07-06 19:00:00,Richard Rodgers Theatre,40.75920382,-73.98676323
Hamilton (NY),2024-07-06 13:00:00,2024-07-06 13:00:00,Richard Rodgers Theatre,40.75920382,-73.98676323
Hamilton,2024-07-06 19:00:00,2024-07-06 19:00:00,Richard Rodgers Theatre-NY,40.7593,-73.990196
Hamilton,2024-07-06 13:00:00,2024-07-06 13:00:00,Richard Rodgers Theatre-NY,40.7593,-73.990196
Hamilton (NY),2024-07-07 13:00:00,2024-07-07 13:00:00,Richard Rodgers Theatre,40.75920382,-73.98676323
Hamilton (NY),2024-07-07 19:00:00,2024-07-07 19:00:00,Richard Rodgers Theatre,40.75920382,-73.98676323
Hamilton,2024-07-07 19:00:00,2024-07-07 19:00:00,Richard Rodgers Theatre-NY,40.7593,-73.990196
Hamilton,2024-07-07 13:00:00,2024-07-07 13:00:00,Richard Rodgers Theatre-NY,40.7593,-73.990196
